0.198,0.27,0.212,0,0,0
0.183231201,0.250883315,0.19892296,0,0,0
0.168462403,0.23176663,0.185845919,0,0,0
0.153693604,0.212649945,0.172768879,0,0,0
0.173,0.173,0.173,0,0,0
0.167,0.167,0.167,0,0,0
0.161,0.161,0.161,0,0,0
0.156,0.156,0.156,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
0.15,0.15,0.15,0,0,0
